sentiment,comment
-1,APASIH LO TASYIIII GAJELAS BGT HAHAHAHAHAH
-1,Hedonnya sangat oke
-1,Manusia haus validasi wakakakkaa??
-1,gimmick kocakkkk
-1,Riya Bgt Dihh
-1,Nungs Bacot Ready
-1,Outfitnya mengapa ....... wkwwkwkwk
-1,Dihh Keren Lo ?? Jijay Banjay
-1,wkwkq riyaaaa ih si ibu????
-1,apasih gajeee jelek
-1,Ngakakkk Bodoh Bat Behaviorny
-1,cinta gadis haha
-1,mbak mbak.. cantik sih tp bulunya lebat kek cowo??
-1,kok mukanya aneh?
-1,biasa main dikali.. sekalinya main ke kota jadi norak dia
-1,"bang gw saranin lu pindah mars aja, malu2 in negara"
-1,orang kyk gini cocoknya jadi umpan buaya
-1,buset itu bibirnye jontor
-1,orang modelan gini beban negara
-1,tolong kim jong un rekrut dia jadi warga negara lu.. beban hahaha
-1,emaknya malu punya anak kayak dia
-1,badan nya mirip sapi
-1,aduh ga bisa bgt liat gaya nya.. norak
-1,wkwkw idungnya ngeselin bgt ya
-1,dia pikir dia paling cantik padahal hanyalah ampas
-1,Ini adalah pemborosan masyarakat
-1,kelakuannya tolol bgt anj
-1,minimal punya otak dek
-1,si tolol bukannya mikir
-1,bang otak lu segede sendok nyam nyam ya?
-1,pls lah minimal mikir jadi orang
-1,Perilaku lu di luar pria sehat sehat
-1,si anj punya otak kg dipake wkwk
-1,duit doang banyak tp gaya lu kyk orang kampung
-1,wkwkw udik bgt ya dia
-1,si tolol ada aja kelakuannya
-1,BGT LU
-1,minimal tidak
-1,idiot lu
-1,apasih bego
-1,kamu anjing mengatakan org
-1,enih orang tolol bin idiot dah gak layak jadi manusia
-1,jgn sok kecakepan mba banyak yg jauh lebih cakepgk sok cakep kyk situ xixixix????
-1,Eh sudah terlambat untuk melarang Kempes
-1,kaka2NYA cakep kok adeNYA kayak... sudahlah no komen
-1,giginya kuning...
-1,pasang behel mba jd ga jigongan...
-1,narsis bgt haha geli dikit??????
-1,apasi goblok ngomong yg jelas dek
-1,sampah masyarakat wkwkw
-1,tong kosong nyaring bunyinya.. alias lu tolol bgt sih
-1,orang kyk gini cocoknya dikurbanin aja guys
-1,bang ntr pas idul adha jgn keluar ye takut ketuker sama sapi wkwk
-1,otak lu udh dijual di rm padang ya?
-1,ni orang pas pembagian otak kayanya absen
-1,dua tiga tutup botol.. gajelas lu kontol
-1,muka nya mirip setan momo ga sih?
-1,ngeliat mukanya keinget setan momo yg dulu viral
-1,cakep bgt sampe mules liat muka mba nya
-1,serem bgt jerawat nya
-1,gapapa gaes.. yg penting abg nya pede dulu punya otak atau engga belakangan
-1,gw jadi pacar mba nya malu sih jalan sama modelan begini
-1,mereka definisi beauty and the beast
-1,mba nya ko mau sama cowo burik ya?
-1,minimal kalo cowo u jelek liat dompetnya mba.. ini udh burik trs miskin awokwokw
-1,mas nya blm mandi setahun kah
-1,gblk matanya juling jlk BAT ANJ
-1,sikat gigi dlu bgg baru bikin tiktok.. jorok
-1,minimal sikat dulu tuh JIGONG ????
-1,eh lu klw mw ngebuli minimal spek nabi dulu bos muka kayak spombob aja belagu KOCAK
-1,hahahahhahahahaah bau jigong
-1,daki nya.. maaf2 nih pen muntah??
-1,kyak kcebong awokwoaoa
-1,ampunn minimal disikat tuh daki ?? gua beliin sabun dah sini dm alamatna
-1,gajah kok pede pos video joget
-1,setan ajaga se buriq mas nya sepertinya..........
-1,Selalu menggali lw awokwowkwok
-1,Eh diem lui tidak melakukannya USA iKt ikuti woo
-1,mbak diet dong
-1,kakak gendutan ya
-1,gak cocok lu joget mirip kurcaci cabang bojong kulur
-1,balik2 belang wkw jadi itam??
-1,setiap liat mukanya saya esmosi kenapa ya heran
-1,lobang idungnya gede bgt
-1,eh kk kurusann jadikyak triplek??
-1,kurus banget coyy aneh ups
-1,Sedikit dari kakgendutin jelas merupakan cantekkk
-1,Canti aih si kaka tetapi tidak memiliki Bothis???
-1,ko k cantik an ygdulu co sekarang krempeng????
-1,Brooooooooooo kok jd begini mukae
-1,prihatin lihat badan nya pasti setreslihat koemntar
-1,keteknya itam tu
-1,maap nih mb pcarnya kok mau sm yang gendats
-1,keti na dibersihjn kak sbeelom joget??
-1,mba behelnya yang kw yah
-1,bikin ngakak liat model behelnya
-1,behel murahan
-1,itu giginya pake kawat pager ya mba?
-1,baru kali ini liat behel yang modelnya jelek bgt
-1,Caper Bgt MBA
-1,cewe caper berhayal disapa sama kaum halo dek
-1,ohkaka kurusin sdikit pasti pas
-1,gembrot ih diet napa diet
-1,paling ga bisa soal GEMBROT
-1,paling gk bissaa soal tapir????
-1,baru kali ini liat tengkorak berjalan hahah makan dong mbak
-1,eh babi terlambat
-1,SI paling mirip babi asal jan babi negpet aja ya upss
-1,Kampseupay Loe
-1,Siapppppp si paling okb????
-1,diemin aja pasangan okb lagi khilaf
-1,jangan sok suci bang belagu amat
-1,norak lo jelek
-1,gigi behelin dulu cok
-1,Cooooookkkkkkkk jiji kelelawar sesuatu nah terbuka malem2 godaan2
-1,Sejauh banyak babi babi wkwkwkwkwkwkwkww
-1,mirip babi sih bener awkowwokwowkokwo
-1,tas chanell KW tuh xixixixiixixixix
-1,Bangke mengkumpulkan kembali kocakkkkk palsu
-1,maluuuuuu2IN ih kemaren aja sombong sok kaya??????
-1,mending beli barang..sesuai gaji... kalau gak mampu.. gak usah........... jadi malu sendiri...
-1,bangga amat beli tas KW woi.. jangan2 bajunya juga LG harus di cek ini
-1,mukanya kotak ngakak dikit maaf bg
-1,baru sadar mukanya.. wkwkw
-1,kotak banget TUH muka
-1,definisi sampah masyarakat beginian masa diposting????
-1,ada yang kotak tapi bukan adu2
-1,aduduuuuuuuhh mas mirip kartun aduduu
-1,PALING GAK BISA SOAL ADUDU
-1,yang satu mirip arsenal satu lagi adudu.. ragam kali yak??
-1,Brother Bald meminta kotorannya
-1,udah botak kotak lagi MAAP YA INI MAH MAAPPPPPP
-1,bang stop ngaca kita tau muka abang kotak kok
-1,Bang telah malu dengan lingkungan itu
-1,pasangan gigi korenganwakakakkakakaka
-1,"gemukan kakaknya,,"
-1,begah ga ta bawa badan?sini tak bantu
-1,salfok SM tompel
-1,tompelmuu mengalihkan pandanganku tsayy kaget begete
-1,cantik tapi bertompel kek nenek gua wkwk
-1,Tompel keluar dari iyuuuhh
-1,cantik sih tapi BERTOMPEL kan agak2 gimana yah
-1,mba nya gapapa kah...? jangan2 otewe operasi tompel??
-1,eh tompelny 3d kocak juga WKWK
-1,Tompel sakti .. tertawa gw yaallah netizen ada di sana
-1,pantesan orang indo iqnya rendah2 kelakuannya bgini... langsung terbukti
-1,lebih rendah untuk tolol gratis gratis
-1,sibego mending lu diem
-1,eh
-1,ih korengan..
-1,eh kocak mending lu pulang dcariin mak noh
-1,"Diam, Anda sendirian di Kok"
-1,giginy keren kek gergaji
-1,Cina Smlehoy
-1,sebelm mangap di sikat dulu kale
-1,Larii ada gajah montox
-1,kya liat pertujukan di kebon binatang
-1,mas lu bukannya keren malah norak
-1,bg lu klo jelek jan full2 bentuk wkkwkwkw
-1,stop buli abngnya.. bercanda hahahah
-1,mau muntah liatnya
-1,Mengejutkan wajahnya
-1,Krik bertaruh Bang Sumoah
-1,itu bibir keceduk apa
-1,idungna miring
-1,bang lu cakep kok.. kalo diliat dari inti bumi????
-1,Lucu
-1,30 lepas ama kandang minus rada sedeng dikit
-1,Taburkan org daun aj
-1,Yang Benci Ibnu Impor Kaki
-1,lebay bet kocag
-1,Ngeless Teroooo
-1,si duta klarifikasi lewat ??
-1,Anjj Face Nya Kaya Mo ... ??
-1,ini uda termasuk cyber bullying loh bro *ketawa dikit
-1,Sangat kejam sebagai mantra 7
-1,mau mkn jdi kgk ada nafsu
-1,Manyun gak bikin lu ganteng
-1,nah ini nih yg beneran harus dishare ke grup jual beli musang
-1,permukaan kasar di bagian kasar
-1,bayu menolak sadar
-1,open donasi buat beli kaca
-1,"BARU BUKA UDAH ADA MUKA DIA, GAJADI DAH UNMOOD"
-1,cocok nih buat yang lagi diet kalo mau makan langsung tonton ini aja 100% nafsu makan hilang
-1,tekstur muka nya kek tembok nya ga si?? eh maap
-1,"PD bisa, tapi jangan berlebihan"
-1,Kucing saya sudah mati saat ini
-1,koreng kok di muka
-1,paansi martabak kacang
-1,buset itu ketombe banyak bet
-1,cuma mau bilang 1 kata aja bang MANDI!
-1,mandi dulu gak si sebeluk but vidio
-1,cuci muka deh setidaknya kalo mau hikin VT
-1,Jan Deket2 Anj
-1,kek plesteran dpn rmh gua
-1,"kalo ngetik dibenerin bos, muka sama ketikan sama sama gajelas"
-1,"jan deket""tuh jigong bau nya kek ta*"
-1,Ko Cave dari Kingki Dia Ngmpng ????
-1,gue lagi makan anjir jadi kaga nafsu liat muka bayu
-1,siapa yang cita' nya mau ngebacok bayu?
-1,cocok di gebukin warga
-1,mandi bang
-1,Terlalu halaman
-1,lobang idung ngga sinkron itu
-1,bacot sia
-1,manyun nya jgn sembarangan mas
-1,siapa yg cita2 nya gebugin Bayu.
-1,Jngn Manyun
-1,Lu kayanya ga pernah mandi yaa itu ketombe banyak bet
-1,buset anak ngen
-1,Jika Anda membuat banyak manyun mas mas nyun
-1,Benerin Dulu tu muka lu Anj Kesel gua
-1,Ketombe Lu Noh
-1,bro mandi bro
-1,jan dekat2 bang geli
-1,Mon maap jigong nya Ampe sini baunya??
-1,Mandi kamar mandi
-1,terakhir mandi kapan bang?
-1,mandi bang ketombe dah banyak itu
-1,pen nampollll
-1,Batuk tidak ada lagi TU
-1,Ketombe kok di muka
-1,mandi lu tong dih
-1,Apakah itu tatap muka jatuhnya Meteor?
-1,didiemin malah jadi naga
-1,lu ngapain cok
-1,gajadi dijual musangnya udh lepas dri kandang
-1,lu ga di ajak
-1,iPhone pun gk sanggup merubahnya
-1,udh gayanya met?
-1,mon maap sejak kapan bright bibirny maju
-1,"gaada mirip mirip nya, mirip popo iya"
-1,paling ga bisa kalo liat babi
-1,Diet Dong Tasyi
-1,bopengny urusin napa
1,manusia kocak ini nih
1,"Lewat pas ""houuuuuu"""
1,jngn jadi badut bng??
1,gelap bgt kek abis maghrib
1,kukira efek ternyata beneran
1,kukira bisa jadi cakep ternyata sama ajaa
1,"pede dulu,glow upnya belakangan"
1,udah aku share ke grup jual beli ikan piranha kak
1,Saya mendapat tanda di awal ampse terlambat. SUMPAAHMHH ENGG
1,kocak lu
1,ngomongnya cpt bgt anjr
1,"Turunan arab rata"" gtu????"
1,Emang Arab agak laen
1,??ocket
1,Emang problematik punya bos ....... Isi sendiri
1,kontrol
1,ya begitulah kalo kita bekerja sama orang arab atau keturunan timur tengah
1,arab? ga heran
1,yaaahh bos Arab ??????????
1,arab yg sangat gokil
1,mau heran turunan arab ??
1,"subur ya bun makan enak terus, tp karyawannya mkn indomie bae"
1,Shir
1,"cantik"" tpi kok....."
1,Wajah Arab ???????????????
1,Arab emang agak lain.. tanya aja TKI arab saudi ?? udah tabiat
1,masalah
1,Red flag emang
1,Baju elit gaji sulit
1,Selalu manipulatif
1,Bendera merah
1,Banyak Betarrrr
1,"Oh, inilah tanahnya di langit?"
1,Definisi Narcisistic Personality Disorder??
1,"emg klihatan si dri tekstur wajah, sikap. tekstur berbicaranya??"
1,Ngeri banget tasyi?????? kaget banget
1,yang paling sakral dan tidak diwarnai
1,juunkcokkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk
1,HAHAHAHHA MALU BANGET
1,"apapun makannya, minumnya tetep ludah sendiri ??????"
1,kesalahan ceroboh
1,Temukan Redflag
1,Redflag Bgt
1,TP Riya TP Red Flag ??
1,Redflag asli
1,dia wibuu??
1,Seperti datok siti nurhaliza beb
1,Lagi main artis²an ya??
1,lu bisa diem ga?
1,cakep lu?
1,ngab itu muka jerawat bukan? kalo jerawat gua kasih tips buat ngilanginnya??
1,itu mukanya knpa
1,gapapa ga ganteng yang penting pede ekan
1,Baymax
1,yg paling anti banged minta maaf??
1,cape syi cape
1,bendera merah bgt :(
1,Tasyi Kocaaak????
1,tasyi kocak
1,APASIH LO TASYIIII??
1,apaan bngt si tasyi
1,hedon banget
1,beli hermes anak buah dikasih makan mie instan sungguh dermawan sekali??
1,Manusia validasi??
1,belanja elit bayar gaji sulit
1,tipuan
1,Ria
1,dia kenapa sih??
1,Siap
1,gue gapaham dr dulu fashion style dia kyk gmna wkwkwk
1,Dihh Keren Bangedd
1,Riyaaaaaaaaaacy
1,apasih ibuuu
1,Ngakankkk
1,barang branded pun terlihat lurang value nya ini mah
1,Hisab adalah saudara perempuannya
1,"semenjak ada masalahnya dia jdi sllu ""dia yg krjain ni? smpe beres?"""
1,wkwk ngakak liat video nya
1,Helehhh
1,Pray for karyawan
1,udah ah gak percaya ama tasyi??
1,Pentingnya peradaban juga sis
1,tasyi kenapa sih
1,ngerusak sabtu pagi ku
1,Idihhh
1,ingat kita gaboleh menghina ya teman teman
1,Takut
1,Sangat banyak horor anjr
1,Gua Itsgrar
1,Kaget co
1,merinding
1,Sayang
1,suaranya emang gtuh ya
1,Apa itu Yak?
1,PLIS merusak ara
1,yang membenci Ibn
1,lebay si
1,ngelesnya bisa bgt tolong ??
1,perempuan ini sangat kocak ya
1,dia melakukan itu biar dilihat orang wahhh sultan bgt itu menurut dia padahal org lain ngelihatnya loe TEGA bgt
1,gak punya hati dah
1,Duta klarifikasi ??
1,Kelakuannya tasyi bener bener ke spill semua anjrit
1,"buset, kaget"
1,Kagettt Jujurr
1,udh keliatan sbnrnya bisa diliat dr gaya bicaranya wkw
1,otw jadi ustadzah trus klarifikasi
1,Uda terlihat dari wajahnya
1,ga pernah ngefans??
1,yg tertutup blm tentu baik
1,Tidak ada seorang pun ??????
1,serius? ga nyangka
1,orang kaya mah gitu??
1,kasian pegawainya
1,Untuk mendapatkan tumpahan pabrik panjang semua air mata
1,dia kan emg orkay dari dulu jdi ga ada rasa2 pernah jdi org bawah atau kekurangan keknya
1,KATANYA SEDANG DI POSISI GAYA ELIT EKONOMI SULIT
1,Nasi sisa dia di kasih ke anak buahnya
1,Dia siapa
1,Emang siapa sih dia
1,bntr lagi klarifikasi 6 jam durasi
1,duitnya buat nambahin koleksi hermes nya??
1,katanya suaminya ngerti agama..????
1,gak heran sama cewee
1,Wong Tasyi dengan buzzer
1,"klarifikasi make ayat"" pasti??"
1,ga sebanding sm konten klo belanja wahh bayar gaji syulit ??
1,Gakenal
1,dia siapa si?
1,skrg orgnya ga nongol apa lagi bikin konten klarifikasi ya?
1,Cuakszz
1,pdhl hedon nya pol??
1,ini sih parahh
1,Parah
1,"ga kenal, siapa si"
1,agak laen emng dia
1,tendangan
1,Pokoknya paling kocak dah si artis ini ????
1,ga aneh sih
1,memang yah gk smua yg diliat di sosmed itu sama dgn realita
1,"mau komen, tp takut ??"
1,Awalnya gue suka dia...ehh makin kesini makin kesanah
1,"Kaga kenal, pentingkah berita ini?"
1,namanya juga orang kaya
1,agak lain emang??
1,Saya lelucon !!
1,si paling pemilik kunci surga ??
1,Cukup tau aja si
1,Sapa sih ??
1,waduh
1,Araaaaab
1,anak muda
1,Kontloo
1,Karma
1,hmmm
1,Chuaksss
1,kardashian family cabang indo
1,tinggal tunggu vidio klarifikasinya yg berpart² dan penuh dg hadis²nya wkwk
1,berlagak seperti korban?
1,ibu ratu tdk prnh salah gess??
1,anjay
1,Agak Laen emng orangnya
1,lamalama kasian tau ih
1,kurus cantik kaya berbie bgt si Tasya
1,dia jaga nama baik nya sendiri wkwk
1,Emang agak2 pasangan suami istri itu
1,alergi minta maaf
1,"lo pada sadar gasih, tuhan lg nunjukin tabiat aslinya dan suaminya ??"
1,wkwkwk
1,Aku adalah salah satu korban kesedihan tasyi waktu itu wkwk
1,dia sama ricis sama aja
1,GWS TASYI
1,ibaratnya kalo dia nabrak pintu pintunya yg hrus minta maaf ??
1,emang paling bener adab di atas ilmu
1,si perfexionis .. ??
1,Para pria itu sama ??
1,"make hadist nya sesuai mood, sitkon dan kebutuhan mereka"
1,dengernya kok gw jd ngang ngong ngang ngong sih??
1,Aku kok bingung ya
1,ngakak ????
1,terlalu berlebihan juga tidak baik kan?
1,tp kalo main ma sirkelnya pulangnya ampe subuh gimana tuch? ??
1,terserah lo dah mo ngomong apah??
1,Cape sangat
1,Pembicaraan berlanjut ..
1,Hanya tertawa ??
1,bergaris
1,Ngakak pol
1,Terserah lo deh
1,Bantal Guling ??
1,pinter ngomong????
1,"iye iyeee, maapin kita yg fakir ilmu ini ye tuan putri Tasyi ??"
1,standar ganda wkwkwk
1,Cukup Laen
1,Banyak kali ceritany
1,Bgt??????
1,kocak club
1,karma yang sebenarnya
1,sakit banget!!
1,Anjirr Tatut Bgt SM Rak Bos dan BU Bus: ((
1,gak menyangka gw
1,caur wkwkw
1,Astaghfirullah ??
1,Di luar nurul
1,Anak laki -laki itu
1,Yaalha parahh sii
1,terus gue harus bilang woooww gitu...putri sanggup biayai kuliahx sendiri....klo udah tenar aja baru deh
1,PAS naik untuk meminta pengampunan
1,dikata yg bisa kejepang die doang kali ya jdi warga konoha di boongin iye2 aje wkwk
1,Itu mah di taksi palsu
1,kok ga malu ya?
1,yg baru ke jepang vs yg dah hidup tahunan di jepang. Nitizen harap maklum ??????
1,bang lu nyebut shinkansen aj salah bang
1,belagu
1,Biasanya okb
1,iyaaa Ibnu adalah satu satunya mahluk yang pernah pergi ke jepang??
1,"Dia nggk salah, yg dia maksud kalo pintu nya di copot"
1,jangan hujat dia wahai warga +62. mungkin sodara kita ini tumben ke jepang. biasanya beliau naik kopaja kalo kemana mana
1,Maruk
1,ke jepangnya transit ke eropa dulu sama ke amrik.
1,aq pura2 bego aja ngedengerin yaaa??
1,ngawur....
1,itu Sopirnya Kunci dari dalam Pintu nya jadi tukang buka Nya harus make linggis makanya mahal
1,"Dimana mana kalau dijepang, kemana mana mah pake kereta api, gada yg pake taxi????"
1,supir di jepang : apaan anjrit kaga semahal itu ege
1,kebiasaan ngomong tinggi ke tetangga...... kebawa2 ke sosmed.... dikira dia org sosmed ngga ada yg tau Jepang
1,Cukup atur di sana??
1,munkin pintu nya di copot [smile][happy]
1,pantesan org Jepang suka jln kaki??
1,bwa ke polsek
1,geger??
1,"aneh bgt blm prnh kesana dan blm berangkat bisa2 nya udh spil ini itu, baru kali ini tau liat org kek gitu"
1,Di antara dia melenturkan/ menipu orang di sana wk
1,KLO NGK BNR KN MALU BNG .... KLO NGK |
1,"Efeknya kaya di negara orang lain, Eem Yodahla"
1,paling ditipu
1,wajar aja jodoh itu emng cerminan diri gw fikir pendiem inget waktu istrinya dihujat karena gamau disamasamain kya att. maunya kya gigi?? diserang dah
1,"simpel aja, dia butuh pengakuan"
1,dia ini siapa ? sumpah bru tau gua dia ada konten
1,"susah si pemikiran mindset orang susah sama Ibnu itu beda jauh,"
1,mungkin dia di tipu wkwkwk
1,boong. basket aku Uda tau
1,"itu 1,4 gara² pintunya di bawa pulang"
